"Camera","Camera_type","Site","Day","Date","Time","Number_of_bees_2min","LM_2min","HS_2min","Number_of_bees_4min","LM_4min","HS_4min","Number_of_bees_6min","LM_6min","HS_6min","Number_of_bees_8min","LM_8min","HS_8min","Number_of_bees_10min","LM_10min","HS_10min","Avg_total_number_of_HS","Avg_total_number_of_LM","Avg_total_number_of_bees","Duration_of_nest_opening_HS","Avg_duration_of_nest_guarding_LM","Avg_duration_of_nest_guarding_HS","Duration_of_nest_closing_HS","Incoming_frequency_LM","Outgoing_frequency_LM","Incoming_frequency_HS","Outgoing_frequency_HS","Thermochron_1","Thermochron_10","Thermochron_2","Thermochron_3","Thermochron_4","Thermochron_6","Thermochron_7","Thermochron_8","Thermochron_9","Avg_T_ambient","Avg_T_H_scab","Avg_T_L_mala","Avg_lux_light_logger"
"Sveta","Focal",2,9,"23/4",11,2,0,2,0,0,0,2,0,2,1,0,1,1,0,1,1.2,0,1.2,NA,NA,107.8,NA,0,0,1,0,20.13333,16.85,17.05,18.9333333333333,15.25,15,17,15,16.75,15.2405277777778,17.6094444444444,19.6429444444444,13178.7093333333
"Sveta","Focal",2,9,"23/4",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,19.45,17,17.0333333333333,18.7,15,14.7,17.3833333333333,15,17,15.5226388888889,18.2621666666667,19.4329444444444,18214.9973333333
"Sveta","Focal",2,9,"23/4",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,20.85,17,18.8666666666667,19.3166666666667,15.6166666666667,15,18,15.6,17,16.6418333333333,19.7426666666667,20.5060277777778,20831.6586666667
"Sveta","Focal",2,9,"23/4",14,1,0,1,1,0,1,2,0,2,2,0,2,1,0,1,1.4,0,1.4,NA,NA,224.5,NA,0,0,0,0,18.56667,17.8333333333333,24.4,21.1,16.7833333333333,15,18.7333333333333,16.8,17.7833333333333,18.3158888888889,22.7684166666667,22.9336111111111,23159.1253333333
"Sveta","Focal",2,9,"23/4",15,2,0,2,2,0,2,2,0,2,2,0,2,1,0,1,1.8,0,1.8,NA,NA,343,NA,0,0,0,0,18.28333,18,21.7833333333333,20.7,16.9333333333333,15,19,17.6666666666667,18.4166666666667,16.8728333333333,20.8492777777778,21.5683611111111,16389.2053333333
"Sveta","Focal",2,9,"23/4",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,16.63333,18,20.0166666666667,19.6333333333333,17.25,15.5166666666667,19,17.9333333333333,19,16.0884444444444,19.6831944444444,20.5626111111111,10617.856
"Sveta","Focal",2,9,"23/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,15.71667,18,16.05,18.4,16.9166666666667,15.7166666666667,18.8333333333333,17.65,19,14.8403611111111,17.4793888888889,18.3342222222222,5870.12266666667
"Sveta","Focal",2,10,"24/4",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,38.23333,12.2166666666667,13.7833333333333,14.0666666666667,12.7333333333333,11.9833333333333,12.2,11,12.0333333333333,18.9401666666667,13.5551111111111,13.9773055555556,50882.9013333333
"Sveta","Focal",2,10,"24/4",10,0,0,0,1,0,1,2,1,1,1,0,1,2,0,2,1,0.2,1.2,NA,NA,NA,NA,0,0,0,0,40.9,13.4166666666667,19.7166666666667,17.7166666666667,14.3166666666667,12.6833333333333,13.8833333333333,11.6666666666667,13.4,23.0791388888889,20.1151666666667,23.9477777777778,64656.0426666667
"Sveta","Focal",2,10,"24/4",11,5,3,2,3,1,2,3,1,2,4,4,0,5,1,4,2,1.8,4,NA,NA,NA,NA,1,0,0,0,38.8,15.55,26.6333333333333,22.5833333333333,15.6,13.2833333333333,16.2833333333333,12.2166666666667,15.1833333333333,23.8146666666667,26.4597222222222,29.6135833333333,68724.0533333333
